application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-harris-lstm,CHL,HetSched,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,9193133125.0,0.009193,15380875625.0,25258.08,7273629.0,3.692476,0.270821,1974013838.0,3,174,100.0,100.0,79,79,0,37.61904761904762,37.61904761904762,174,-7382.333333333333,-2167.0,-12505.0,-7475.0,0.5101163251734966,0.729125,0.249715005699886,0.5515089698206036,0.4006119877602448,0.6403169849103019
canny-harris-lstm,CHL,ELF,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,9241723125.0,0.009242,15393491250.0,29315.24,7435049.0,2.609004,0.383288,1403303240.0,3,174,100.0,100.0,143,126,17,68.0952380952381,60.0,174,-7379.333333333333,-3130.0,-11582.0,-7426.0,0.4894309363812724,0.60875,0.3050938981220376,0.5544489110217795,0.42977140457190854,0.5815994555108898
deblur-gru-harris,DGH,FCFS,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,22054565625.0,0.022055,27553405000.0,32862.12,6986938.0,4.403039,0.227116,790793902.0,2,142,66.66666666666667,88.75,98,64,34,48.756218905472636,31.8407960199005,160,-1506.3333333333333,5387.0,-7090.0,-2816.0,0.848607347853043,1.3232135357292854,0.5746085078298434,0.648,0.6113042539149217,0.9856067678646427
deblur-gru-harris,DGH,GEDF_D,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,23109017500.0,0.023109,28608280000.0,32746.61,6991873.0,4.321589,0.231396,744089445.0,2,141,66.66666666666667,88.125,99,65,34,49.25373134328358,32.33830845771145,160,-863.3333333333334,6441.0,-6036.0,-2995.0,0.8833081713365732,1.386452270954581,0.625625,0.6378472430551388,0.6317361215275694,1.0121497570048599
deblur-gru-harris,DGH,GEDF_N,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,21968837500.0,0.021969,27468180000.0,32413.35,6997848.0,4.359473,0.229386,845341771.0,2,142,66.66666666666667,88.75,90,57,33,44.776119402985074,28.35820895522388,160,22.666666666666668,5301.0,-2730.0,-2503.0,0.9422088808223835,1.3180536389272215,0.65875,0.8498230035399292,0.7542865017699646,1.0839383212335754
deblur-gru-harris,DGH,LAX,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,22098411875.0,0.022098,27598866250.0,28237.64,7317378.0,2.489456,0.401694,757405016.0,2,142,66.66666666666667,88.75,107,71,36,53.233830845771145,35.32338308457712,160,-1540.0,5431.0,-7174.0,-2877.0,0.8452656971860563,1.3258534829303414,0.5695686086278274,0.640375,0.6049718043139137,0.9831142414651708
deblur-gru-harris,DGH,ELFD,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,22049513125.0,0.02205,27549127500.0,24706.92,6991317.0,4.347173,0.230035,790986717.0,2,142,66.66666666666667,88.75,98,64,34,48.756218905472636,31.8407960199005,160,-1511.0,5382.0,-7095.0,-2820.0,0.8482406851862963,1.3229135417291653,0.5743085138297234,0.6475,0.6109042569148617,0.9852067708645826
deblur-gru-harris,DGH,LL,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,21985331250.0,0.021985,27831121250.0,15490.69,7062723.0,3.739603,0.267408,844687205.0,2,142,66.66666666666667,88.75,12,3,9,5.970149253731343,1.4925373134328357,160,43.666666666666664,5317.0,-2702.0,-2484.0,0.9440755334893302,1.3190136197276054,0.66225,0.8509629807403852,0.7566064903701926,1.0849883002339953
deblur-gru-harris,DGH,HetSched,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,21986791250.0,0.021987,27751731250.0,24348.54,7030569.0,3.565504,0.280465,564503654.0,2,142,66.66666666666667,88.75,14,4,10,6.965174129353234,1.9900497512437811,160,-274.6666666666667,5319.0,-3660.0,-2483.0,0.9042188656226875,1.3191336173276536,0.5425,0.8510229795404092,0.6967614897702046,1.0850782984340315
deblur-gru-harris,DGH,ELF,canny_0_deblur_1_gru_1_harris_1_lstm_0_,3,201,160,21990453750.0,0.02199,27490673125.0,28031.67,7225214.0,2.588219,0.386366,561446896.0,2,142,66.66666666666667,88.75,142,107,35,70.64676616915423,53.233830845771145,160,-257.0,5322.0,-3604.0,-2489.0,0.9064922001559969,1.3193136137277255,0.5495,0.8506629867402652,0.7000814933701326,1.0849883002339953
