experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
70,2025-12-01 20:38:28,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_balanced,"[[1,1,1,1,1]]",[],29078.5876,3.0,5,145392.94,7929856,2375680,24497176,0,5,279.05,33319.0,5,16000,0,121,37,0,0.008375
71,2025-12-01 20:38:29,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_vision_heavy,"[[2,2,0,2,0]]",[],24975.646,3.5,6,149853.88,655360,2850816,5281840,0,6,349.45,33025.0,6,16000,0,10,45,0,0.010582
72,2025-12-01 20:38:32,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_ml_heavy,"[[0,0,2,0,2]]",[],74047.25,2.5,4,296189.0,5046272,458752,55312384,0,4,999.2,75652.0,4,16000,0,77,7,0,0.013208
73,2025-12-01 20:38:32,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_canny,"[[1,0,0,0,0]]",[],4209.928,1.0,1,4209.93,196608,573440,148144,1,0,4.44,4209.93,1,16000,0,3,9,0,0.001055
74,2025-12-01 20:38:33,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
75,2025-12-01 20:38:34,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_gru,"[[0,0,1,0,0]]",[],2837.0,1.0,1,2837.0,6750208,1441792,5963776,1,0,1.7,2837.0,1,16000,0,103,22,0,0.0006
76,2025-12-01 20:38:34,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_harris,"[[0,0,0,1,0]]",[],5294.01,1.0,1,5294.01,262144,901120,279420,1,0,7.95,5294.01,1,16000,0,4,14,0,0.001502
77,2025-12-01 20:38:35,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_lstm,"[[0,0,0,0,1]]",[],4829.0,1.0,1,4829.0,4784128,983040,10485760,1,0,4.61,4829.0,1,16000,0,73,15,0,0.000955
78,2025-12-01 20:38:36,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_balanced,"[[1,1,1,1,1]]",[],15730.7876,3.0,5,78653.94,12582912,3555328,18664472,2,3,142.5,21991.0,5,16000,0,192,55,0,0.00648
79,2025-12-01 20:38:37,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_vision_heavy,"[[2,2,0,2,0]]",[],25819.979333,3.5,6,154919.88,589824,3112960,5085232,2,4,459.72,39440.0,6,16000,0,9,49,0,0.011656
