experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
84,2025-12-04 14:34:07,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,196608,901120,344956,1,0,5.26,4039.0,1,5280,0,3,14,,0,0.001303
85,2025-12-04 14:34:08,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_lstm,"[[0,0,0,0,1]]",[],3537.0,1.0,1,3537.0,6815744,1703936,7733248,1,0,2.62,3537.0,1,5280,0,104,26,,0,0.00074
86,2025-12-04 14:34:09,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_balanced,"[[1,1,1,1,1]]",[],7580.4,2.8,5,37902.0,13959168,5341184,15502360,4,1,104.65,18024.0,5,5280,0,213,82,31927089,0,0.005806
87,2025-12-04 14:34:10,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_vision_heavy,"[[2,2,0,2,0]]",[],14738.333333,3.0,6,88430.0,786432,3407872,4593712,4,2,300.12,29531.0,6,5280,0,12,53,94548431,0,0.010163
88,2025-12-04 14:34:11,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,mixed_ml_heavy,"[[0,0,2,0,2]]",[],12552.0,2.5,4,50208.0,26411008,1245184,33161216,0,4,55.68,16689.0,4,5280,0,403,19,22516929,0,0.003336
89,2025-12-04 14:34:11,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,0,3,11,,0,0.000943
90,2025-12-04 14:34:12,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
91,2025-12-04 14:34:13,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2390.0,1.0,1,2390.0,6619136,1638400,5898240,1,0,1.26,2390.0,1,5280,0,101,25,,0,0.000528
92,2025-12-04 14:34:13,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,196608,901120,344956,1,0,5.26,4039.0,1,5280,0,3,14,,0,0.001303
93,2025-12-04 14:34:14,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],6988.0,1.0,1,6988.0,4128768,1572864,10551296,1,0,9.21,6988.0,1,5280,0,63,24,,0,0.001318
94,2025-12-04 14:34:15,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],9249.6,2.8,5,46248.0,9961472,5013504,19827736,3,2,117.25,19417.0,5,5280,0,152,77,27619047,0,0.006038
95,2025-12-04 14:34:16,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],13065.166667,3.0,6,78391.0,458752,3604480,4724784,4,2,288.11,28926.0,6,5280,0,7,56,86346527,0,0.00996
96,2025-12-04 14:34:18,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],30178.25,2.5,4,120713.0,3407872,2621440,54788096,0,4,189.75,32081.0,4,5280,0,52,40,4713503,0,0.005915
97,2025-12-04 14:34:18,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,12,3,11,,0,0.000943
98,2025-12-04 14:34:19,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,22,0,26,,0,0.004425
