app_mix_label,app_mix_list,app_mix_str,application,application_mix,avg_deadline_difference,avg_slowdown,dag_deadlines_met,deadline,final_tick,forwards_only,host_seconds,max_deadline_difference,max_slowdown,median_deadline_difference,median_slowdown,mem_ctrls.bw_total::total,min_deadline_difference,min_slowdown,node_deadlines_met,num_apps,num_colocations,num_edges,num_forwards,num_nodes,percent_colocations,percent_dag_deadlines_met,percent_forwards,percent_node_deadlines_met,policy,sim_insts,sim_seconds,sim_ticks,slowdown_p25,slowdown_p75,system.cpu.cpi,system.cpu.ipc,total_dags,total_edges,total_nodes
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,12459108125.0,7,17988.86,,,,,3483352506.0,,,156,2,35,,42,,18.617021276595747,100.0,22.34042553191489,100.0,LAX,7469255.0,0.006534000000000001,6533783750.0,,,2.448032,0.408491,156,188.0,156.0
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,10673785625.0,0,18196.26,,,,,3605257203.0,,,156,2,79,,79,,42.02127659574468,100.0,42.02127659574468,100.0,HetSched,7123441.0,0.004713,4713485625.0,,,3.6726419999999997,0.272284,156,188.0,156.0
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,10577585000.0,7,25441.66,,,,,2511028562.0,,,156,2,123,,130,,65.42553191489364,100.0,69.14893617021278,100.0,ELF,7256800.0,0.004652,4652442500.0,,,2.605442,0.383812,156,188.0,156.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,2,,21498845000.0,26,26673.7,,,,,972288117.0,,,142,2,62,,88,,34.63687150837989,100.0,49.16201117318435,100.0,FCFS,6843386.0,0.016225999999999997,16226017500.0,,,4.379752,0.228323,142,179.0,142.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,1,,23687305000.0,26,26586.97,,,,,846088147.0,,,123,2,63,,89,,35.195530726256976,50.0,49.72067039106145,86.61971830985917,GEDF_D,6846466.0,0.018414,18414322500.0,,,4.316639,0.23166199999999998,142,179.0,142.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,2,,21405351250.0,26,26896.84,,,,,1051063254.0,,,142,2,53,,79,,29.608938547486037,100.0,44.1340782122905,100.0,GEDF_N,6853127.0,0.016132,16132368750.0,,,4.364388,0.229127,142,179.0,142.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,2,,21425988125.0,26,18353.11,,,,,956501443.0,,,142,2,68,,94,,37.988826815642454,100.0,52.51396648044693,100.0,LAX,7136297.0,0.016152,16151975625.0,,,2.483563,0.402647,142,179.0,142.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,2,,21669907500.0,0,18217.19,,,,,689481606.0,,,142,2,101,,101,,56.4245810055866,100.0,56.4245810055866,100.0,HetSched,6880118.0,0.016131,16131093125.0,,,3.525669,0.283634,142,179.0,142.0
DG,"[0, 1, 1, 0, 0]",canny_0_deblur_1_gru_1_harris_0_lstm_0_,,deblur-gru,,,2,,21640576250.0,26,24934.06,,,,,663660821.0,,,142,2,103,,129,,57.54189944134078,100.0,72.06703910614524,100.0,ELF,7041995.0,0.016366,16366498750.0,,,2.597766,0.384946,142,179.0,142.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22462592500.0,36,11625.61,,,,,103528372.0,,,22,2,2,,38,,3.8461538461538463,50.0,73.07692307692307,55.0,FCFS,272794.0,0.022050999999999998,22050535000.0,,,4.540964,0.220218,40,52.0,40.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22458197500.0,36,11744.64,,,,,103550617.0,,,22,2,2,,38,,3.8461538461538463,50.0,73.07692307692307,55.0,GEDF_D,273176.0,0.022046,22045798125.0,,,4.534555999999999,0.220529,40,52.0,40.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22348495625.0,36,11558.17,,,,,104068851.0,,,22,2,3,,39,,5.769230769230768,50.0,75.0,55.0,GEDF_N,272945.0,0.021936,21936016250.0,,,4.5511,0.219727,40,52.0,40.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22488681250.0,38,8004.4,,,,,91543050.0,,,22,2,3,,41,,5.769230769230768,50.0,78.84615384615384,55.0,LAX,360374.0,0.022075,22075296875.0,,,2.5794490000000003,0.38768,40,52.0,40.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22355996250.0,10,6962.05,,,,,98064384.0,,,22,2,4,,14,,7.6923076923076925,50.0,26.923076923076927,55.0,HetSched,288248.0,0.021943,21942563750.0,,,3.921441,0.255008,40,52.0,40.0
DH,"[0, 1, 0, 1, 0]",canny_0_deblur_1_gru_0_harris_1_lstm_0_,,deblur-harris,,,1,,22382335000.0,36,7947.08,,,,,97961054.0,,,22,2,4,,40,,7.6923076923076925,50.0,76.92307692307693,55.0,ELF,356619.0,0.021969,21968975625.0,,,2.656014,0.376504,40,52.0,40.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,2,,22362480000.0,26,28727.76,,,,,1382489948.0,,,166,2,38,,64,,18.62745098039216,100.0,31.37254901960784,100.0,FCFS,7120287.0,0.016405,16404520000.0,,,4.498676000000001,0.222288,166,204.0,166.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,1,,25705192500.0,26,28526.12,,,,,1135208200.0,,,147,2,39,,65,,19.11764705882353,50.0,31.862745098039213,88.55421686746989,GEDF_D,7124603.0,0.019747,19747267500.0,,,4.428501,0.22580999999999998,166,204.0,166.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,2,,22104436250.0,26,28873.52,,,,,1497934236.0,,,166,2,23,,49,,11.274509803921571,100.0,24.01960784313725,100.0,GEDF_N,7132730.0,0.016146999999999998,16146511250.0,,,4.480958,0.223167,166,204.0,166.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,2,,22157465000.0,26,20056.52,,,,,1428503689.0,,,166,2,31,,57,,15.196078431372547,100.0,27.94117647058824,100.0,LAX,7532023.0,0.016199,16198552500.0,,,2.46175,0.406215,166,204.0,166.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,2,,22132578125.0,0,20178.78,,,,,1076533639.0,,,166,2,78,,78,,38.23529411764706,100.0,38.23529411764706,100.0,HetSched,7165188.0,0.016137000000000002,16137405625.0,,,3.6925879999999998,0.270813,166,204.0,166.0
DL,"[0, 1, 0, 0, 1]",canny_0_deblur_1_gru_0_harris_0_lstm_1_,,deblur-lstm,,,2,,22108318125.0,26,28507.1,,,,,742930157.0,,,166,2,119,,145,,58.33333333333334,100.0,71.07843137254902,100.0,ELF,7318148.0,0.016149,16148958125.0,,,2.599847,0.38463800000000004,166,204.0,166.0
GH,"[0, 0, 1, 1, 0]",canny_0_deblur_0_gru_1_harris_1_lstm_0_,,gru-harris,,,2,,11743650000.0,10,25720.86,,,,,2548096754.0,,,138,2,64,,74,,37.42690058479532,100.0,43.2748538011696,100.0,FCFS,6857811.0,0.006428,6428162500.0,,,4.353421,0.229704,138,171.0,138.0
GH,"[0, 0, 1, 1, 0]",canny_0_deblur_0_gru_1_harris_1_lstm_0_,,gru-harris,,,2,,14354045000.0,13,25110.24,,,,,1768692772.0,,,138,2,65,,78,,38.01169590643275,100.0,45.614035087719294,100.0,GEDF_D,6864221.0,0.009039,9038555625.0,,,4.247908,0.23540999999999998,138,171.0,138.0
